name,status,ms,synonym,related,positive,negative,summary
صنعت غذا و کشاورزی,R,2,"غذا,غذایی,کشاورزی، کشاورزی,ذرت,جو,گندم,سویا,کنجاله,شکر,قهوه,سیب زمینی,پشم,روغن,حبوبات,سبزیجات,دام,طیور",,"کشاورزی,ذرت,جو,گندم,سویا,کنجاله,شکر,قهوه,سیب زمینی,پشم,روغن,حبوبات,سبزیجات,دام,طیور",,
صنعت چاپ,R,2,"چاپ,بسته بندی,بسته‌بندی,سلولوز,مقوا,کاغذ,گلاسه,مرکب,چاپگر",,"چاپ, بسته بندی,بسته‌بندی,سلولوز,مقوا,کاغذ,گلاسه,مرکب",,
صنعت نفت و گاز,R,1,"نفت,گاز",,"نفت,گاز,گازوئیل,قیر,پارافین",,
صنعت پتروشیمی و پالایش,R,2,"پتروشیمی,پالایش,پالایشگاه,توتال,پارس جنوبی",,"پتروشیمی,پالایشگاه,پالایش,نفت,گاز,بنزین",,
صنعت بانک و بیمه,R,2,"بانک,بیمه,تسهیلات,وام,سود,بدهی,سرمایه,مالی",,"بانک,بیمه",,
صنعت ابزار پزشکی و دارو,R,1,"پزشکی,دارو,داروسازی,",,"دارو,دارویی",,
صنعت فلزات و معادن,R,1,"فلزات,معادن,معدن,فلز",,"معدن,نقره,طلا,پلاتین,مس,سرب,قلع,روی,نیکل,آلومینیوم,کائوچو,منگنز,فولاد,قلع,آلیاژ",,
بازار ارز و سکه,R,1,"ارز,سکه,طلا,دلار,",,"ارز,سکه,طلا,مسکوکات,دلار,اسکناس,حواله,ریال,فرانک,پوند,یورو,یوان,ین,نقره,پلاتین",,
صنعت شیمیایی و حلال‌ها,R,1,"پتروشیمی,نفت,گاز,حلال",,"معدنی,شیمیایی",,
صنعت راه و ساختمان,R,3,"راه و ساختمان,زمین,راه,ساختمان,مسکن,مصالح,آپارتمان,نوسازی,ملک,املاک,لوله,میلگرد,تیرآهن",,"مصالح,آپارتمان,نوسازی,ملک,املاک,لوله,میلگرد,تیرآهن",,
صنعت پلیمر و پلاستیک,R,1,"پلیمر,پلاستیک,",,"پلی‌پروپیلن,پلی‌اتیلن,",,
صنعت نساجی و پوشاک,R,1,"نساجی,بافندگی",,"البسه,لباس,الیاف,نخ,پارچه",,
صنعت لاستیک و پلاستیک,R,1,"لاستیک,پلاستیک,پلاستیک‌سازی,لاستیک‌سازی",,,,
ارتباطات و فناوری اطلاعات,R,1,"فناوری اطلاعات,الکترونیک,مخابرات",,"تکنولوژی,دیجیتال",,
تعاون و اشتغال,R,1,"تعاونی,تعاون,",,بنگاه,,
صنعت خودرو,R,2,"خودروسازی,اتومبیل,خودرو,خودروساز,هیوندا,سایپا,رنو,ولوو,تویوتا,ایران‌خودرو",,"خودروساز,هیوندا,سایپا,رنو,ولوو,تویوتا,ایران‌خودرو",,
نماد ۱۸۷۱۹۱۰۱,A,1,"۱۸۷۱۹۱۰۱,اوراق مشارکت ایران‌ خودرو",صنعت خودرو,"بورس,سهام,شاخص,قرارداد",,خودرو و ساخت قطعات
نماد آپ,A,1,"آپ,آسان پرداخت پرشین",ارتباطات و فناوری اطلاعات,"بورس,سهام,شاخص,قرارداد",استارت آپ,رایانه و فعالیت‌های وابسته به آن
نماد آسیا,A,2,"آسیا,بیمه,بیمه آسیا",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,بیمه وصندوق بازنشستگی به جزتامین اجتماعی
نماد آکنتور,A,1,"آکنتور,کنتورسازی‌ایران‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,"ابزارپزشکی, اپتیکی و اندازه‌گیری"
نماد آکنتورح,A,1,"آکنتورح,ح. کنتورسازی‌ایران‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,"ابزارپزشکی, اپتیکی و اندازه‌گیری"
نماد اخابر,A,1,"اخابر,مخابرات ایران",ارتباطات و فناوری اطلاعات,"بورس,سهام,شاخص,قرارداد",,مخابرات
نماد اخابرح,A,1,"اخابرح,ح. مخابرات ایران",ارتباطات و فناوری اطلاعات,"بورس,سهام,شاخص,قرارداد",,مخابرات
نماد البرز,A,2,"البرز,بیمه البرز,بیمه",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد,بیمه",استان البرز,بیمه وصندوق بازنشستگی به جزتامین اجتماعی
نماد البرزح,A,1,"البرزح,ح. بیمه البرز",صنعت بانک و بیمه,"بورس,سهام,شاخص,قرارداد",,بیمه وصندوق بازنشستگی به جزتامین اجتماعی
نماد باختر,A,1,"باختر,کابل‌ باختر",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد باخترح,A,1,"باخترح,ح. کابل‌ باختر",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بالبر,A,1,"بالبر,کابل‌ البرز",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بالبرح,A,1,"بالبرح,ح. کابل‌ البرز",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
نماد بایکا,A,1,"بایکا,کابلسازی‌ایران‌",,"بورس,سهام,شاخص,قرارداد",,ماشین آلات و دستگاه‌های برقی
